p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
TNFRSF9	0	0.418368745370945	0.293	0.004	0	CD8+ T cells	TNFRSF9
LAG3	0	0.414660239329439	0.32	0.009	0	CD8+ T cells	LAG3
PRKCH	0	0.414575798923612	0.405	0.013	0	CD8+ T cells	PRKCH
MBNL1	0	0.408041953821287	0.455	0.06	0	CD8+ T cells	MBNL1
CD48	0	0.405940415851043	0.409	0.022	0	CD8+ T cells	CD48
ADGRE5	0	0.404925724868188	0.366	0.03	0	CD8+ T cells	ADGRE5
STAT1	0	0.403504777815208	0.436	0.109	0	CD8+ T cells	STAT1
MYL12A	0	0.403320661697865	0.667	0.321	0	CD8+ T cells	MYL12A
LYST	0	0.402912868496253	0.382	0.056	0	CD8+ T cells	LYST
TIGIT	0	0.397430535400287	0.316	0.004	0	CD8+ T cells	TIGIT
HLA-F	0	0.397310584921436	0.466	0.075	0	CD8+ T cells	HLA-F
CDC42SE2	0	0.393877907757781	0.404	0.027	0	CD8+ T cells	CDC42SE2
CYBA	0	0.393712157560232	0.571	0.163	0	CD8+ T cells	CYBA
CMC1	0	0.391853686987366	0.291	0.039	0	CD8+ T cells	CMC1
SLC2A3	0	0.391625697736854	0.387	0.082	0	CD8+ T cells	SLC2A3
SLC38A1	0	0.389471743931022	0.384	0.012	0	CD8+ T cells	SLC38A1
CLEC2B	0	0.387299137904749	0.37	0.043	0	CD8+ T cells	CLEC2B
CD99	0	0.385044166876188	0.6	0.23	0	CD8+ T cells	CD99
LINC-PINT	0	0.383423660745504	0.371	0.032	0	CD8+ T cells	LINC-PINT
CBLB	0	0.378318591110947	0.362	0.012	0	CD8+ T cells	CBLB
TRAT1	0	0.374646744007826	0.342	0.003	0	CD8+ T cells	TRAT1
RPS29	0	0.373255773274696	0.783	0.759	0	CD8+ T cells	RPS29
YWHAB	0	0.366153973253385	0.61	0.271	0	CD8+ T cells	YWHAB
SMCHD1	0	0.366067336779815	0.368	0.045	0	CD8+ T cells	SMCHD1
CLEC2D	0	0.365334941553258	0.345	0.009	0	CD8+ T cells	CLEC2D
SAMSN1	0	0.364882792293834	0.347	0.025	0	CD8+ T cells	SAMSN1
HCLS1	0	0.364000152884786	0.405	0.039	0	CD8+ T cells	HCLS1
KMT2E	0	0.363995154426621	0.453	0.101	0	CD8+ T cells	KMT2E
MSN	0	0.361587941475046	0.414	0.078	0	CD8+ T cells	MSN
BIRC3	0	0.359900265092988	0.329	0.032	0	CD8+ T cells	BIRC3
CRIP1	0	0.358197484278192	0.332	0.01	0	CD8+ T cells	CRIP1
CDKN1B	0	0.358111202056731	0.377	0.039	0	CD8+ T cells	CDKN1B
JAK1	0	0.351752597342238	0.406	0.06	0	CD8+ T cells	JAK1
APOBEC3G	0	0.351318458103035	0.313	0.017	0	CD8+ T cells	APOBEC3G
CD96	0	0.350951221831602	0.34	0.004	0	CD8+ T cells	CD96
CD53	0	0.350402103588517	0.369	0.027	0	CD8+ T cells	CD53
ARL6IP5	0	0.344728648133287	0.428	0.1	0	CD8+ T cells	ARL6IP5
CD247	0	0.344642327100516	0.325	0.003	0	CD8+ T cells	CD247
SEPT1	0	0.341673860010571	0.35	0.012	0	CD8+ T cells	SEPT1
HMGB2	0	0.340188719093519	0.345	0.038	0	CD8+ T cells	HMGB2
ID2	0	0.339214507703493	0.357	0.102	0	CD8+ T cells	ID2
GPSM3	0	0.336449115196541	0.416	0.083	0	CD8+ T cells	GPSM3
ARHGAP9	0	0.335224316805306	0.328	0.008	0	CD8+ T cells	ARHGAP9
PTPN22	0	0.335050167717452	0.316	0.006	0	CD8+ T cells	PTPN22
PTPN7	0	0.33349215658138	0.32	0.006	0	CD8+ T cells	PTPN7
EML4	0	0.333484957680186	0.339	0.034	0	CD8+ T cells	EML4
CLIC1	0	0.332398195846753	0.607	0.289	0	CD8+ T cells	CLIC1
TMA7	0	0.331789071031865	0.656	0.324	0	CD8+ T cells	TMA7
PARP8	0	0.331221596304702	0.3	0.012	0	CD8+ T cells	PARP8
PSME2	0	0.329216494654708	0.489	0.152	0	CD8+ T cells	PSME2
TSPYL2	0	0.327684581166738	0.295	0.037	0	CD8+ T cells	TSPYL2
PDE4B	0	0.327474137199737	0.331	0.041	0	CD8+ T cells	PDE4B
ACAP1	0	0.327029804577024	0.332	0.006	0	CD8+ T cells	ACAP1
DAZAP2	0	0.326923452165381	0.549	0.203	0	CD8+ T cells	DAZAP2
REL	0	0.325066027166032	0.348	0.078	0	CD8+ T cells	REL
CALR	0	0.324131271837148	0.562	0.266	0	CD8+ T cells	CALR
RUNX3	0	0.323968634936251	0.305	0.009	0	CD8+ T cells	RUNX3
TERF2IP	0	0.323915513606573	0.395	0.085	0	CD8+ T cells	TERF2IP
IDS	0	0.323230808046122	0.36	0.056	0	CD8+ T cells	IDS
ARID4B	0	0.323219317679156	0.357	0.046	0	CD8+ T cells	ARID4B
PPP2R5C	0	0.323063636547678	0.336	0.028	0	CD8+ T cells	PPP2R5C
IL10RA	0	0.319162654621586	0.32	0.026	0	CD8+ T cells	IL10RA
TAPBP	0	0.318409356442312	0.398	0.083	0	CD8+ T cells	TAPBP
AKAP13	0	0.318296421105363	0.356	0.061	0	CD8+ T cells	AKAP13
ARL4C	0	0.318050602820175	0.33	0.029	0	CD8+ T cells	ARL4C
DNAJA1	0	0.317759873000402	0.427	0.195	0	CD8+ T cells	DNAJA1
CNN2	0	0.317559088605022	0.352	0.058	0	CD8+ T cells	CNN2
KIAA1551	0	0.316915311202704	0.318	0.022	0	CD8+ T cells	KIAA1551
LAT	0	0.31645837225055	0.303	0.004	0	CD8+ T cells	LAT
SEPT6	0	0.316311654763723	0.333	0.025	0	CD8+ T cells	SEPT6
GPR65	0	0.315129770335834	0.297	0.013	0	CD8+ T cells	GPR65
EMB	0	0.314264981837831	0.32	0.013	0	CD8+ T cells	EMB
AKNA	0	0.313155649242098	0.299	0.01	0	CD8+ T cells	AKNA
STK17A	0	0.312098174556699	0.31	0.024	0	CD8+ T cells	STK17A
PTGER4	0	0.309550785170477	0.306	0.037	0	CD8+ T cells	PTGER4
ICOS	0	0.30945510214625	0.254	0.002	0	CD8+ T cells	ICOS
VPS37B	0	0.308821578884829	0.298	0.027	0	CD8+ T cells	VPS37B
FAM46C	0	0.308430065057434	0.301	0.021	0	CD8+ T cells	FAM46C
GZMM	0	0.307310796088872	0.268	0.003	0	CD8+ T cells	GZMM
STAT3	0	0.307117637642059	0.39	0.122	0	CD8+ T cells	STAT3
ICAM3	0	0.306952079935501	0.333	0.023	0	CD8+ T cells	ICAM3
DDX24	0	0.305748678952132	0.42	0.12	0	CD8+ T cells	DDX24
ETS1	0	0.305559880495018	0.323	0.035	0	CD8+ T cells	ETS1
TAGLN2	0	0.305071906819516	0.488	0.235	0	CD8+ T cells	TAGLN2
SH2D1A	0	0.302858043356117	0.262	0.004	0	CD8+ T cells	SH2D1A
RPS4Y1	0	0.301937217308686	0.395	0.09	0	CD8+ T cells	RPS4Y1
SOCS1	0	0.299333491755591	0.263	0.027	0	CD8+ T cells	SOCS1
GBP5	0	0.299265640216682	0.266	0.011	0	CD8+ T cells	GBP5
CELF2	0	0.298410923329466	0.325	0.038	0	CD8+ T cells	CELF2
RPS15A1	0	0.298201974887333	0.981	0.978	0	CD8+ T cells	RPS15A
CCND2	0	0.296143441365492	0.296	0.026	0	CD8+ T cells	CCND2
TAP1	0	0.295236675319991	0.386	0.095	0	CD8+ T cells	TAP1
SKAP1	0	0.29398201038871	0.298	0.003	0	CD8+ T cells	SKAP1
HSPA5	0	0.291305325332096	0.439	0.162	0	CD8+ T cells	HSPA5
HNRNPLL	0	0.290618646677006	0.312	0.043	0	CD8+ T cells	HNRNPLL
ATP1B3	0	0.288909967269692	0.318	0.09	0	CD8+ T cells	ATP1B3
SF1	0	0.288766930447916	0.459	0.164	0	CD8+ T cells	SF1
PRDM1	0	0.286619601100649	0.274	0.029	0	CD8+ T cells	PRDM1
SH3KBP1	0	0.285101267915265	0.311	0.027	0	CD8+ T cells	SH3KBP1
DRAP1	0	0.285078499856716	0.383	0.097	0	CD8+ T cells	DRAP1
RNF213	0	0.284310328282628	0.329	0.054	0	CD8+ T cells	RNF213
ARHGEF1	0	0.282215575605742	0.298	0.019	0	CD8+ T cells	ARHGEF1
PTMA	0	0.282001270031009	0.992	0.97	0	CD8+ T cells	PTMA
IL2RB	0	0.281459474307073	0.255	0.002	0	CD8+ T cells	IL2RB
ANKRD12	0	0.281447332411717	0.348	0.083	0	CD8+ T cells	ANKRD12
GIMAP7	0	0.281367754294494	0.258	0.01	0	CD8+ T cells	GIMAP7
CXCR3	0	0.280841575494627	0.254	0.004	0	CD8+ T cells	CXCR3
CIB1	0	0.280023720561445	0.393	0.101	0	CD8+ T cells	CIB1
PRRC2C	0	0.277080675102945	0.428	0.148	0	CD8+ T cells	PRRC2C
BTG2	0	0.275425262863991	0.431	0.144	0	CD8+ T cells	BTG2
SIT1	0	0.274177688669205	0.251	0.005	0	CD8+ T cells	SIT1
FUS	0	0.27354147274698	0.493	0.21	0	CD8+ T cells	FUS
RNF125	0	0.273076853571763	0.253	0.005	0	CD8+ T cells	RNF125
EPC1	0	0.270123386969908	0.333	0.063	0	CD8+ T cells	EPC1
CNBP	0	0.267151014351217	0.556	0.264	0	CD8+ T cells	CNBP
CACYBP	0	0.266800655794202	0.252	0.091	0	CD8+ T cells	CACYBP
GPBP1	0	0.266299158562832	0.348	0.082	0	CD8+ T cells	GPBP1
ITK	0	0.266211671851666	0.255	0.002	0	CD8+ T cells	ITK
G3BP2	0	0.265586087991358	0.319	0.066	0	CD8+ T cells	G3BP2
RBM39	0	0.265415869293886	0.438	0.161	0	CD8+ T cells	RBM39
GLIPR1	0	0.264499845670095	0.258	0.024	0	CD8+ T cells	GLIPR1
FNBP1	0	0.26401210981374	0.324	0.068	0	CD8+ T cells	FNBP1
SRRT	0	0.263514741914443	0.251	0.027	0	CD8+ T cells	SRRT
ABRACL	0	0.263006861201098	0.324	0.054	0	CD8+ T cells	ABRACL
LCP2	0	0.261914696629299	0.277	0.03	0	CD8+ T cells	LCP2
ANXA6	0	0.259988920877325	0.329	0.074	0	CD8+ T cells	ANXA6
LINC00152	0	0.258562244013098	0.276	0.04	0	CD8+ T cells	LINC00152
SLC9A3R1	0	0.256835979616023	0.298	0.045	0	CD8+ T cells	SLC9A3R1
CCND3	0	0.25616088098302	0.282	0.029	0	CD8+ T cells	CCND3
MT-ATP61	0	0.256010953190552	0.996	0.964	0	CD8+ T cells	MT-ATP6
HNRNPA2B1	0	0.255091022543127	0.664	0.384	0	CD8+ T cells	HNRNPA2B1
TRIM22	0	0.2550154735296	0.268	0.025	0	CD8+ T cells	TRIM22
WAS	0	0.254078234743152	0.277	0.021	0	CD8+ T cells	WAS
SEPT7	0	0.253599426201243	0.444	0.167	0	CD8+ T cells	SEPT7
CTSC	0	0.253558530524919	0.325	0.106	0	CD8+ T cells	CTSC
MYL6	0	0.253338283984799	0.852	0.727	0	CD8+ T cells	MYL6
RBM8A	0	0.252345468411777	0.429	0.155	0	CD8+ T cells	RBM8A
CAPZB	0	0.251090832069764	0.48	0.197	0	CD8+ T cells	CAPZB
CCNH	0	0.250680021853546	0.271	0.046	0	CD8+ T cells	CCNH
ZC3HAV1	0	0.250592567407457	0.275	0.036	0	CD8+ T cells	ZC3HAV1
CDK2AP2	0	0.250209583053549	0.303	0.074	0	CD8+ T cells	CDK2AP2
HSPA8	1.23736634680933e-279	0.406262630241225	0.772	0.697	2.85373800564637e-275	CD8+ T cells	HSPA8
MT2A	3.45704476683451e-102	0.323947520441092	0.358	0.24	7.97298234575042e-98	CD8+ T cells	MT2A
HSPD1	3.36934706407873e-82	0.273125236947599	0.407	0.312	7.77072513388478e-78	CD8+ T cells	HSPD1
HSP90AA1	1.47195779170043e-16	0.441776866324117	0.786	0.848	3.39477625499871e-12	CD8+ T cells	HSP90AA1
GAPDH	0	0.803513547168079	0.998	0.951	0	Melanocyte cells	GAPDH
S100A1	0	0.611445793376226	0.899	0.602	0	Melanocyte cells	S100A1
COX6C	0	0.544095937870133	0.897	0.659	0	Melanocyte cells	COX6C
MIF	0	0.542002133168104	0.972	0.806	0	Melanocyte cells	MIF
SDCBP1	0	0.524831413571998	0.952	0.747	0	Melanocyte cells	SDCBP
UQCRB	0	0.479983948262823	0.97	0.814	0	Melanocyte cells	UQCRB
PABPC11	0	0.46309185258055	0.992	0.924	0	Melanocyte cells	PABPC1
CITED11	0	0.45339209710227	0.532	0.343	0	Melanocyte cells	CITED1
PPIA	0	0.432123479762287	0.99	0.924	0	Melanocyte cells	PPIA
TPI1	0	0.427337375828402	0.805	0.602	0	Melanocyte cells	TPI1
QDPR	0	0.406507726617247	0.267	0.105	0	Melanocyte cells	QDPR
ANXA5	0	0.390932324064289	0.88	0.699	0	Melanocyte cells	ANXA5
ALDOA	0	0.383302274839498	0.955	0.83	0	Melanocyte cells	ALDOA
LDHA	0	0.379776909923006	0.838	0.649	0	Melanocyte cells	LDHA
SERF2	0	0.363097750866292	0.981	0.933	0	Melanocyte cells	SERF2
RPL71	0	0.361931416397648	0.997	0.924	0	Melanocyte cells	RPL7
LDHB	0	0.356795940072189	0.741	0.58	0	Melanocyte cells	LDHB
YWHAZ	0	0.354706697205438	0.778	0.61	0	Melanocyte cells	YWHAZ
LY6E1	0	0.345429267216213	0.716	0.477	0	Melanocyte cells	LY6E
EIF3H	0	0.341352550671628	0.703	0.553	0	Melanocyte cells	EIF3H
RPL81	0	0.338426479751059	0.999	0.99	0	Melanocyte cells	RPL8
SRP14	0	0.334071762759726	0.889	0.757	0	Melanocyte cells	SRP14
HINT1	0	0.331812440047369	0.903	0.78	0	Melanocyte cells	HINT1
RBM3	0	0.323044137045356	0.669	0.531	0	Melanocyte cells	RBM3
CHCHD2	0	0.295011994195673	0.888	0.787	0	Melanocyte cells	CHCHD2
EIF3E	0	0.291043627413119	0.896	0.728	0	Melanocyte cells	EIF3E
RPL30	0	0.290869380150371	0.999	0.99	0	Melanocyte cells	RPL30
ACTG11	0	0.268523763914752	0.992	0.952	0	Melanocyte cells	ACTG1
FTH1	0	0.25205336661353	0.999	0.988	0	Melanocyte cells	FTH1
SLC25A5	1.66029346499107e-297	0.291122296854591	0.711	0.56	3.8291348183089e-293	Melanocyte cells	SLC25A5
HSP90AB1	8.29178619931282e-289	0.273177884975085	0.947	0.836	1.91233465114752e-284	Melanocyte cells	HSP90AB1
ATP6V1G1	1.67755974209564e-282	0.280746942831219	0.811	0.673	3.86895603319518e-278	Melanocyte cells	ATP6V1G1
NDUFA4	3.22206046661081e-275	0.260543274745385	0.865	0.737	7.43103805414452e-271	Melanocyte cells	NDUFA4
NPM1	1.82031233089669e-258	0.275399930279037	0.973	0.885	4.19818632874703e-254	Melanocyte cells	NPM1
UQCRH	2.1843099073078e-234	0.268639772758263	0.676	0.568	5.03767393922398e-230	Melanocyte cells	UQCRH
ENO1	5.13376006818119e-223	0.342760578028076	0.43	0.324	1.18399908452463e-218	Melanocyte cells	ENO1
PTP4A3	3.72136916093655e-210	0.267136508494683	0.272	0.159	8.58259369586796e-206	Melanocyte cells	PTP4A3
CRYAB1	8.41550067822484e-185	0.274535727528951	0.393	0.28	1.940866921419e-180	Melanocyte cells	CRYAB
PKM	1.76939129052612e-140	0.27153292990119	0.387	0.298	4.0807471333404e-136	Melanocyte cells	PKM
ATP5B	4.9395466015055e-140	0.33750055352353	0.449	0.406	1.13920763270521e-135	Melanocyte cells	ATP5B
CYC11	2.29528150514211e-138	0.275324478249741	0.363	0.282	5.29360773530924e-134	Melanocyte cells	CYC1
TCEB1	1.1277889352146e-137	0.291394122957294	0.366	0.292	2.60101962128543e-133	Melanocyte cells	TCEB1
VDAC1	6.21576689213152e-136	0.283113211405142	0.347	0.272	1.43354231833229e-131	Melanocyte cells	VDAC1
SEPW1	1.03572830284171e-116	0.296524894934227	0.376	0.315	2.38870018484383e-112	Melanocyte cells	SEPW1
RAB2A1	4.08223050875873e-109	0.256468937201936	0.34	0.272	9.41484822235025e-105	Melanocyte cells	RAB2A
EIF5A	7.53681761054509e-107	0.252411932782304	0.33	0.262	1.73821624552001e-102	Melanocyte cells	EIF5A
CSTB	2.96394105297894e-88	0.270414446829068	0.438	0.403	6.83573725048533e-84	Melanocyte cells	CSTB
GSTP1	1.81780650972463e-82	0.250638868240582	0.8	0.668	4.19240715337791e-78	Melanocyte cells	GSTP1
UQCRQ	2.46994428681178e-58	0.258759133039752	0.393	0.38	5.696432508674e-54	Melanocyte cells	UQCRQ
CD74	0	2.72660176995815	0.909	0.24	0	Macrophage /Monocyte cells	CD74
HLA-DRA	0	2.43660234921322	0.823	0.082	0	Macrophage /Monocyte cells	HLA-DRA
C1QB	0	2.14424481196599	0.678	0.026	0	Macrophage /Monocyte cells	C1QB
FTL	0	2.11964245749332	0.999	0.985	0	Macrophage /Monocyte cells	FTL
C1QC	0	2.09561752048813	0.664	0.02	0	Macrophage /Monocyte cells	C1QC
HLA-DPA1	0	2.0589206970001	0.785	0.096	0	Macrophage /Monocyte cells	HLA-DPA1
HLA-DRB1	0	2.0473366415465	0.712	0.1	0	Macrophage /Monocyte cells	HLA-DRB1
C1QA	0	2.0407770112588	0.694	0.024	0	Macrophage /Monocyte cells	C1QA
HLA-DPB1	0	1.89876627619182	0.779	0.11	0	Macrophage /Monocyte cells	HLA-DPB1
CST3	0	1.75284070763415	0.806	0.343	0	Macrophage /Monocyte cells	CST3
TYROBP	0	1.74331215332503	0.754	0.027	0	Macrophage /Monocyte cells	TYROBP
HLA-DRB5	0	1.70852944102541	0.62	0.066	0	Macrophage /Monocyte cells	HLA-DRB5
TMSB4X1	0	1.62120334059483	0.979	0.436	0	Macrophage /Monocyte cells	TMSB4X
CCL3	0	1.59724705067458	0.344	0.034	0	Macrophage /Monocyte cells	CCL3
SEPP1	0	1.59529319675692	0.603	0.091	0	Macrophage /Monocyte cells	SEPP1
IL1B	0	1.52971942468461	0.303	0.014	0	Macrophage /Monocyte cells	IL1B
HLA-DQA1	0	1.43934882257993	0.592	0.046	0	Macrophage /Monocyte cells	HLA-DQA1
LYZ	0	1.39465782426011	0.425	0.007	0	Macrophage /Monocyte cells	LYZ
CCL41	0	1.39368993815034	0.341	0.093	0	Macrophage /Monocyte cells	CCL4
RNASE1	0	1.37451180439647	0.402	0.028	0	Macrophage /Monocyte cells	RNASE1
HLA-DQB1	0	1.338654828764	0.573	0.051	0	Macrophage /Monocyte cells	HLA-DQB1
FCER1G	0	1.27480151252513	0.62	0.015	0	Macrophage /Monocyte cells	FCER1G
CXCL8	0	1.25498171960181	0.273	0.027	0	Macrophage /Monocyte cells	CXCL8
GPX1	0	1.19895553371349	0.792	0.345	0	Macrophage /Monocyte cells	GPX1
AIF1	0	1.19373765654523	0.649	0.016	0	Macrophage /Monocyte cells	AIF1
CTSB	0	1.07441274523199	0.6	0.214	0	Macrophage /Monocyte cells	CTSB
CXCL2	0	1.04680585745738	0.273	0.018	0	Macrophage /Monocyte cells	CXCL2
CD68	0	1.0183130135413	0.569	0.069	0	Macrophage /Monocyte cells	CD68
PSAP	0	0.995946541898631	0.622	0.328	0	Macrophage /Monocyte cells	PSAP
NFKBIA	0	0.983748652462649	0.416	0.205	0	Macrophage /Monocyte cells	NFKBIA
SAT1	0	0.966373419457468	0.921	0.659	0	Macrophage /Monocyte cells	SAT1
SLC40A1	0	0.95437302114423	0.415	0.051	0	Macrophage /Monocyte cells	SLC40A1
SOD2	0	0.899860652555999	0.408	0.108	0	Macrophage /Monocyte cells	SOD2
PLAUR	0	0.886103018907158	0.306	0.015	0	Macrophage /Monocyte cells	PLAUR
MS4A6A	0	0.864212855528507	0.484	0.017	0	Macrophage /Monocyte cells	MS4A6A
SRGN1	0	0.861281160303557	0.58	0.189	0	Macrophage /Monocyte cells	SRGN
FCGRT	0	0.851118403138245	0.507	0.074	0	Macrophage /Monocyte cells	FCGRT
FTH11	0	0.834561941242265	1	0.989	0	Macrophage /Monocyte cells	FTH1
MS4A7	0	0.82049331025008	0.427	0.006	0	Macrophage /Monocyte cells	MS4A7
NPC2	0	0.805905713391803	0.673	0.354	0	Macrophage /Monocyte cells	NPC2
LAPTM51	0	0.796711398758468	0.586	0.119	0	Macrophage /Monocyte cells	LAPTM5
BCL2A1	0	0.786871595508858	0.316	0.018	0	Macrophage /Monocyte cells	BCL2A1
IER3	0	0.785401225845628	0.342	0.108	0	Macrophage /Monocyte cells	IER3
HLA-DMA	0	0.781694414513671	0.506	0.054	0	Macrophage /Monocyte cells	HLA-DMA
TMSB101	0	0.770193476240241	0.995	0.93	0	Macrophage /Monocyte cells	TMSB10
LGMN	0	0.763885118556152	0.38	0.045	0	Macrophage /Monocyte cells	LGMN
ACTB1	0	0.748505161763214	0.994	0.942	0	Macrophage /Monocyte cells	ACTB
CD83	0	0.737675621897059	0.333	0.027	0	Macrophage /Monocyte cells	CD83
CD14	0	0.730923680163457	0.37	0.008	0	Macrophage /Monocyte cells	CD14
ITM2B	0	0.704126683884318	0.616	0.365	0	Macrophage /Monocyte cells	ITM2B
S100A11	0	0.688036772937168	0.718	0.45	0	Macrophage /Monocyte cells	S100A11
CTSS	0	0.685656674697978	0.436	0.043	0	Macrophage /Monocyte cells	CTSS
LIPA	0	0.625635480786775	0.352	0.032	0	Macrophage /Monocyte cells	LIPA
DUSP11	0	0.621226119761257	0.386	0.166	0	Macrophage /Monocyte cells	DUSP1
GRN	0	0.615410813733372	0.451	0.158	0	Macrophage /Monocyte cells	GRN
GPR183	0	0.611631395575981	0.29	0.031	0	Macrophage /Monocyte cells	GPR183
GLUL	0	0.599877585276139	0.455	0.134	0	Macrophage /Monocyte cells	GLUL
OAZ11	0	0.569508896999109	0.822	0.587	0	Macrophage /Monocyte cells	OAZ1
FGL2	0	0.561180596872328	0.329	0.007	0	Macrophage /Monocyte cells	FGL2
VAMP8	0	0.551875146252391	0.47	0.101	0	Macrophage /Monocyte cells	VAMP8
CYBA1	0	0.539570202372243	0.479	0.194	0	Macrophage /Monocyte cells	CYBA
RNASET2	0	0.523786256062267	0.393	0.063	0	Macrophage /Monocyte cells	RNASET2
FOLR2	0	0.499992255886216	0.277	0.004	0	Macrophage /Monocyte cells	FOLR2
LST1	0	0.491452731078294	0.344	0.006	0	Macrophage /Monocyte cells	LST1
SPI1	0	0.48933486013641	0.348	0.005	0	Macrophage /Monocyte cells	SPI1
FCGR3A	0	0.488777558273625	0.283	0.015	0	Macrophage /Monocyte cells	FCGR3A
TUBA1B	0	0.483965108361688	0.525	0.328	0	Macrophage /Monocyte cells	TUBA1B
DAB2	0	0.478769500278209	0.313	0.032	0	Macrophage /Monocyte cells	DAB2
PLEK	0	0.473051651111319	0.291	0.021	0	Macrophage /Monocyte cells	PLEK
COTL11	0	0.47256322349522	0.337	0.103	0	Macrophage /Monocyte cells	COTL1
B2M1	0	0.468836922603561	0.999	0.936	0	Macrophage /Monocyte cells	B2M
RGS10	0	0.465242983868499	0.395	0.075	0	Macrophage /Monocyte cells	RGS10
CAPG	0	0.464971331884797	0.262	0.015	0	Macrophage /Monocyte cells	CAPG
NAMPT	0	0.449392328235108	0.322	0.126	0	Macrophage /Monocyte cells	NAMPT
LGALS3	0	0.432815777740141	0.376	0.169	0	Macrophage /Monocyte cells	LGALS3
ARPC3	0	0.428899157393699	0.571	0.331	0	Macrophage /Monocyte cells	ARPC3
IGSF6	0	0.414736203176415	0.277	0.003	0	Macrophage /Monocyte cells	IGSF6
CTSC1	0	0.409811700001119	0.326	0.118	0	Macrophage /Monocyte cells	CTSC
HLA-DMB	0	0.406941258338643	0.315	0.01	0	Macrophage /Monocyte cells	HLA-DMB
ARHGDIB1	0	0.40594905307869	0.485	0.141	0	Macrophage /Monocyte cells	ARHGDIB
TMEM176B	0	0.403059691936009	0.273	0.012	0	Macrophage /Monocyte cells	TMEM176B
GADD45B	0	0.402165559375962	0.343	0.163	0	Macrophage /Monocyte cells	GADD45B
CYBB	0	0.393058775294412	0.286	0.003	0	Macrophage /Monocyte cells	CYBB
MS4A4A	0	0.388942839358908	0.266	0.003	0	Macrophage /Monocyte cells	MS4A4A
RNASE6	0	0.388826694037239	0.277	0.004	0	Macrophage /Monocyte cells	RNASE6
TYMP	0	0.388377019127566	0.315	0.09	0	Macrophage /Monocyte cells	TYMP
PYCARD	0	0.38063262672918	0.335	0.048	0	Macrophage /Monocyte cells	PYCARD
NCF1	0	0.375894380109179	0.288	0.025	0	Macrophage /Monocyte cells	NCF1
PFN11	0	0.37496734800515	0.935	0.812	0	Macrophage /Monocyte cells	PFN1
CXCL16	0	0.371249961460288	0.288	0.012	0	Macrophage /Monocyte cells	CXCL16
RHOA	0	0.362905586288281	0.56	0.368	0	Macrophage /Monocyte cells	RHOA
ITGB21	0	0.358721833419802	0.317	0.081	0	Macrophage /Monocyte cells	ITGB2
RNF130	0	0.355369448156664	0.338	0.074	0	Macrophage /Monocyte cells	RNF130
UCP21	0	0.34621951648391	0.322	0.076	0	Macrophage /Monocyte cells	UCP2
RGS21	0	0.344919549462576	0.26	0.081	0	Macrophage /Monocyte cells	RGS2
CREG1	0	0.339687366716195	0.286	0.046	0	Macrophage /Monocyte cells	CREG1
ARPC5	0	0.339437916519522	0.382	0.128	0	Macrophage /Monocyte cells	ARPC5
TPT11	0	0.326678529704752	0.998	0.993	0	Macrophage /Monocyte cells	TPT1
MFSD1	0	0.3249786779836	0.275	0.03	0	Macrophage /Monocyte cells	MFSD1
FCGR2A	0	0.322325036401714	0.251	0.014	0	Macrophage /Monocyte cells	FCGR2A
MARCKS	0	0.3206806080386	0.281	0.066	0	Macrophage /Monocyte cells	MARCKS
NINJ1	0	0.306284417123762	0.391	0.202	0	Macrophage /Monocyte cells	NINJ1
CAPZB1	0	0.303345818987276	0.416	0.218	0	Macrophage /Monocyte cells	CAPZB
ARRB2	0	0.294087498430145	0.273	0.031	0	Macrophage /Monocyte cells	ARRB2
HCLS11	0	0.292081294080901	0.291	0.069	0	Macrophage /Monocyte cells	HCLS1
REL1	0	0.286072895933218	0.267	0.101	0	Macrophage /Monocyte cells	REL
CTSZ	0	0.28569988328234	0.29	0.115	0	Macrophage /Monocyte cells	CTSZ
RGS11	0	0.283446780716652	0.324	0.134	0	Macrophage /Monocyte cells	RGS1
ARPC1B	0	0.27950277055472	0.352	0.157	0	Macrophage /Monocyte cells	ARPC1B
GRB2	0	0.278246603527645	0.293	0.073	0	Macrophage /Monocyte cells	GRB2
CTSH	0	0.275468659833251	0.251	0.058	0	Macrophage /Monocyte cells	CTSH
RHOG	0	0.274121201341114	0.294	0.079	0	Macrophage /Monocyte cells	RHOG
SAMHD1	0	0.269699776693355	0.258	0.053	0	Macrophage /Monocyte cells	SAMHD1
TNFAIP31	4.92646765364361e-302	0.460680681773579	0.297	0.135	1.13619123495983e-297	Macrophage /Monocyte cells	TNFAIP3
SH3BGRL31	1.78467860577994e-294	0.40676859798126	0.566	0.371	4.11600426851027e-290	Macrophage /Monocyte cells	SH3BGRL3
LSP11	4.28370645248221e-279	0.272610816474466	0.256	0.108	9.87951219135971e-275	Macrophage /Monocyte cells	LSP1
ARPC21	3.51500151274986e-270	0.320161980884067	0.524	0.35	8.10664798885501e-266	Macrophage /Monocyte cells	ARPC2
BLVRB	2.43154697736724e-261	0.251490287477797	0.286	0.136	5.60787679390207e-257	Macrophage /Monocyte cells	BLVRB
CTSD	4.74965014407689e-261	0.654974923058992	0.515	0.378	1.09541181272845e-256	Macrophage /Monocyte cells	CTSD
PLD3	2.67228818308389e-259	0.298520243181265	0.333	0.177	6.16309823664638e-255	Macrophage /Monocyte cells	PLD3
