p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
AKNA	0	0.313155649242098	0.299	0.01	0	2	AKNA
STK17A	0	0.312098174556699	0.31	0.024	0	2	STK17A
PTGER4	0	0.309550785170477	0.306	0.037	0	2	PTGER4
ICOS	0	0.30945510214625	0.254	0.002	0	2	ICOS
VPS37B	0	0.308821578884829	0.298	0.027	0	2	VPS37B
FAM46C	0	0.308430065057434	0.301	0.021	0	2	FAM46C
GZMM	0	0.307310796088872	0.268	0.003	0	2	GZMM
STAT3	0	0.307117637642059	0.39	0.122	0	2	STAT3
ICAM3	0	0.306952079935501	0.333	0.023	0	2	ICAM3
DDX24	0	0.305748678952132	0.42	0.12	0	2	DDX24
ETS1	0	0.305559880495018	0.323	0.035	0	2	ETS1
TAGLN2	0	0.305071906819516	0.488	0.235	0	2	TAGLN2
SH2D1A	0	0.302858043356117	0.262	0.004	0	2	SH2D1A
RPS4Y1	0	0.301937217308686	0.395	0.09	0	2	RPS4Y1
SOCS1	0	0.299333491755591	0.263	0.027	0	2	SOCS1
GBP5	0	0.299265640216682	0.266	0.011	0	2	GBP5
CELF2	0	0.298410923329466	0.325	0.038	0	2	CELF2
RPS15A1	0	0.298201974887333	0.981	0.978	0	2	RPS15A
CCND2	0	0.296143441365492	0.296	0.026	0	2	CCND2
TAP1	0	0.295236675319991	0.386	0.095	0	2	TAP1
SKAP1	0	0.29398201038871	0.298	0.003	0	2	SKAP1
HSPA5	0	0.291305325332096	0.439	0.162	0	2	HSPA5
HNRNPLL	0	0.290618646677006	0.312	0.043	0	2	HNRNPLL
ATP1B3	0	0.288909967269692	0.318	0.09	0	2	ATP1B3
SF1	0	0.288766930447916	0.459	0.164	0	2	SF1
PRDM1	0	0.286619601100649	0.274	0.029	0	2	PRDM1
SH3KBP1	0	0.285101267915265	0.311	0.027	0	2	SH3KBP1
DRAP1	0	0.285078499856716	0.383	0.097	0	2	DRAP1
RNF213	0	0.284310328282628	0.329	0.054	0	2	RNF213
ARHGEF1	0	0.282215575605742	0.298	0.019	0	2	ARHGEF1
PTMA	0	0.282001270031009	0.992	0.97	0	2	PTMA
IL2RB	0	0.281459474307073	0.255	0.002	0	2	IL2RB
ANKRD12	0	0.281447332411717	0.348	0.083	0	2	ANKRD12
GIMAP7	0	0.281367754294494	0.258	0.01	0	2	GIMAP7
CXCR3	0	0.280841575494627	0.254	0.004	0	2	CXCR3
CIB1	0	0.280023720561445	0.393	0.101	0	2	CIB1
PRRC2C	0	0.277080675102945	0.428	0.148	0	2	PRRC2C
BTG2	0	0.275425262863991	0.431	0.144	0	2	BTG2
SIT1	0	0.274177688669205	0.251	0.005	0	2	SIT1
FUS	0	0.27354147274698	0.493	0.21	0	2	FUS
RNF125	0	0.273076853571763	0.253	0.005	0	2	RNF125
EPC1	0	0.270123386969908	0.333	0.063	0	2	EPC1
CNBP	0	0.267151014351217	0.556	0.264	0	2	CNBP
CACYBP	0	0.266800655794202	0.252	0.091	0	2	CACYBP
GPBP1	0	0.266299158562832	0.348	0.082	0	2	GPBP1
ITK	0	0.266211671851666	0.255	0.002	0	2	ITK
G3BP2	0	0.265586087991358	0.319	0.066	0	2	G3BP2
RBM39	0	0.265415869293886	0.438	0.161	0	2	RBM39
GLIPR1	0	0.264499845670095	0.258	0.024	0	2	GLIPR1
FNBP1	0	0.26401210981374	0.324	0.068	0	2	FNBP1
SRRT	0	0.263514741914443	0.251	0.027	0	2	SRRT
ABRACL	0	0.263006861201098	0.324	0.054	0	2	ABRACL
LCP2	0	0.261914696629299	0.277	0.03	0	2	LCP2
ANXA6	0	0.259988920877325	0.329	0.074	0	2	ANXA6
LINC00152	0	0.258562244013098	0.276	0.04	0	2	LINC00152
SLC9A3R1	0	0.256835979616023	0.298	0.045	0	2	SLC9A3R1
CCND3	0	0.25616088098302	0.282	0.029	0	2	CCND3
MT-ATP61	0	0.256010953190552	0.996	0.964	0	2	MT-ATP6
HNRNPA2B1	0	0.255091022543127	0.664	0.384	0	2	HNRNPA2B1
TRIM22	0	0.2550154735296	0.268	0.025	0	2	TRIM22
WAS	0	0.254078234743152	0.277	0.021	0	2	WAS
SEPT7	0	0.253599426201243	0.444	0.167	0	2	SEPT7
CTSC	0	0.253558530524919	0.325	0.106	0	2	CTSC
MYL6	0	0.253338283984799	0.852	0.727	0	2	MYL6
RBM8A	0	0.252345468411777	0.429	0.155	0	2	RBM8A
CAPZB	0	0.251090832069764	0.48	0.197	0	2	CAPZB
CCNH	0	0.250680021853546	0.271	0.046	0	2	CCNH
ZC3HAV1	0	0.250592567407457	0.275	0.036	0	2	ZC3HAV1
CDK2AP2	0	0.250209583053549	0.303	0.074	0	2	CDK2AP2
HSPA8	1.23736634680933e-279	0.406262630241225	0.772	0.697	2.85373800564637e-275	2	HSPA8
MT2A	3.45704476683451e-102	0.323947520441092	0.358	0.24	7.97298234575042e-98	2	MT2A
HSPD1	3.36934706407873e-82	0.273125236947599	0.407	0.312	7.77072513388478e-78	2	HSPD1
HSP90AA1	1.47195779170043e-16	0.441776866324117	0.786	0.848	3.39477625499871e-12	2	HSP90AA1
GAPDH	0	0.803513547168079	0.998	0.951	0	3	GAPDH
S100A1	0	0.611445793376226	0.899	0.602	0	3	S100A1
COX6C	0	0.544095937870133	0.897	0.659	0	3	COX6C
MIF	0	0.542002133168104	0.972	0.806	0	3	MIF
SDCBP1	0	0.524831413571998	0.952	0.747	0	3	SDCBP
UQCRB	0	0.479983948262823	0.97	0.814	0	3	UQCRB
PABPC11	0	0.46309185258055	0.992	0.924	0	3	PABPC1
CITED11	0	0.45339209710227	0.532	0.343	0	3	CITED1
PPIA	0	0.432123479762287	0.99	0.924	0	3	PPIA
TPI1	0	0.427337375828402	0.805	0.602	0	3	TPI1
QDPR	0	0.406507726617247	0.267	0.105	0	3	QDPR
ANXA5	0	0.390932324064289	0.88	0.699	0	3	ANXA5
ALDOA	0	0.383302274839498	0.955	0.83	0	3	ALDOA
LDHA	0	0.379776909923006	0.838	0.649	0	3	LDHA
SERF2	0	0.363097750866292	0.981	0.933	0	3	SERF2
RPL71	0	0.361931416397648	0.997	0.924	0	3	RPL7
LDHB	0	0.356795940072189	0.741	0.58	0	3	LDHB
YWHAZ	0	0.354706697205438	0.778	0.61	0	3	YWHAZ
LY6E1	0	0.345429267216213	0.716	0.477	0	3	LY6E
EIF3H	0	0.341352550671628	0.703	0.553	0	3	EIF3H
RPL81	0	0.338426479751059	0.999	0.99	0	3	RPL8
SRP14	0	0.334071762759726	0.889	0.757	0	3	SRP14
HINT1	0	0.331812440047369	0.903	0.78	0	3	HINT1
RBM3	0	0.323044137045356	0.669	0.531	0	3	RBM3
CHCHD2	0	0.295011994195673	0.888	0.787	0	3	CHCHD2
EIF3E	0	0.291043627413119	0.896	0.728	0	3	EIF3E
RPL30	0	0.290869380150371	0.999	0.99	0	3	RPL30
ACTG11	0	0.268523763914752	0.992	0.952	0	3	ACTG1
FTH1	0	0.25205336661353	0.999	0.988	0	3	FTH1
SLC25A5	1.66029346499107e-297	0.291122296854591	0.711	0.56	3.8291348183089e-293	3	SLC25A5
HSP90AB1	8.29178619931282e-289	0.273177884975085	0.947	0.836	1.91233465114752e-284	3	HSP90AB1
ATP6V1G1	1.67755974209564e-282	0.280746942831219	0.811	0.673	3.86895603319518e-278	3	ATP6V1G1
NDUFA4	3.22206046661081e-275	0.260543274745385	0.865	0.737	7.43103805414452e-271	3	NDUFA4
NPM1	1.82031233089669e-258	0.275399930279037	0.973	0.885	4.19818632874703e-254	3	NPM1
UQCRH	2.1843099073078e-234	0.268639772758263	0.676	0.568	5.03767393922398e-230	3	UQCRH
ENO1	5.13376006818119e-223	0.342760578028076	0.43	0.324	1.18399908452463e-218	3	ENO1
PTP4A3	3.72136916093655e-210	0.267136508494683	0.272	0.159	8.58259369586796e-206	3	PTP4A3
CRYAB1	8.41550067822484e-185	0.274535727528951	0.393	0.28	1.940866921419e-180	3	CRYAB
PKM	1.76939129052612e-140	0.27153292990119	0.387	0.298	4.0807471333404e-136	3	PKM
ATP5B	4.9395466015055e-140	0.33750055352353	0.449	0.406	1.13920763270521e-135	3	ATP5B
CYC11	2.29528150514211e-138	0.275324478249741	0.363	0.282	5.29360773530924e-134	3	CYC1
TCEB1	1.1277889352146e-137	0.291394122957294	0.366	0.292	2.60101962128543e-133	3	TCEB1
VDAC1	6.21576689213152e-136	0.283113211405142	0.347	0.272	1.43354231833229e-131	3	VDAC1
SEPW1	1.03572830284171e-116	0.296524894934227	0.376	0.315	2.38870018484383e-112	3	SEPW1
RAB2A1	4.08223050875873e-109	0.256468937201936	0.34	0.272	9.41484822235025e-105	3	RAB2A
EIF5A	7.53681761054509e-107	0.252411932782304	0.33	0.262	1.73821624552001e-102	3	EIF5A
CSTB	2.96394105297894e-88	0.270414446829068	0.438	0.403	6.83573725048533e-84	3	CSTB
GSTP1	1.81780650972463e-82	0.250638868240582	0.8	0.668	4.19240715337791e-78	3	GSTP1
UQCRQ	2.46994428681178e-58	0.258759133039752	0.393	0.38	5.696432508674e-54	3	UQCRQ
CD74	0	2.72660176995815	0.909	0.24	0	4	CD74
HLA-DRA	0	2.43660234921322	0.823	0.082	0	4	HLA-DRA
C1QB	0	2.14424481196599	0.678	0.026	0	4	C1QB
FTL	0	2.11964245749332	0.999	0.985	0	4	FTL
C1QC	0	2.09561752048813	0.664	0.02	0	4	C1QC
HLA-DPA1	0	2.0589206970001	0.785	0.096	0	4	HLA-DPA1
HLA-DRB1	0	2.0473366415465	0.712	0.1	0	4	HLA-DRB1
C1QA	0	2.0407770112588	0.694	0.024	0	4	C1QA
HLA-DPB1	0	1.89876627619182	0.779	0.11	0	4	HLA-DPB1
CST3	0	1.75284070763415	0.806	0.343	0	4	CST3
TYROBP	0	1.74331215332503	0.754	0.027	0	4	TYROBP
HLA-DRB5	0	1.70852944102541	0.62	0.066	0	4	HLA-DRB5
TMSB4X1	0	1.62120334059483	0.979	0.436	0	4	TMSB4X
CCL3	0	1.59724705067458	0.344	0.034	0	4	CCL3
SEPP1	0	1.59529319675692	0.603	0.091	0	4	SEPP1
IL1B	0	1.52971942468461	0.303	0.014	0	4	IL1B
HLA-DQA1	0	1.43934882257993	0.592	0.046	0	4	HLA-DQA1
LYZ	0	1.39465782426011	0.425	0.007	0	4	LYZ
CCL41	0	1.39368993815034	0.341	0.093	0	4	CCL4
RNASE1	0	1.37451180439647	0.402	0.028	0	4	RNASE1
HLA-DQB1	0	1.338654828764	0.573	0.051	0	4	HLA-DQB1
FCER1G	0	1.27480151252513	0.62	0.015	0	4	FCER1G
CXCL8	0	1.25498171960181	0.273	0.027	0	4	CXCL8
GPX1	0	1.19895553371349	0.792	0.345	0	4	GPX1
AIF1	0	1.19373765654523	0.649	0.016	0	4	AIF1
CTSB	0	1.07441274523199	0.6	0.214	0	4	CTSB
CXCL2	0	1.04680585745738	0.273	0.018	0	4	CXCL2
CD68	0	1.0183130135413	0.569	0.069	0	4	CD68
PSAP	0	0.995946541898631	0.622	0.328	0	4	PSAP
NFKBIA	0	0.983748652462649	0.416	0.205	0	4	NFKBIA
SAT1	0	0.966373419457468	0.921	0.659	0	4	SAT1
SLC40A1	0	0.95437302114423	0.415	0.051	0	4	SLC40A1
SOD2	0	0.899860652555999	0.408	0.108	0	4	SOD2
PLAUR	0	0.886103018907158	0.306	0.015	0	4	PLAUR
MS4A6A	0	0.864212855528507	0.484	0.017	0	4	MS4A6A
SRGN1	0	0.861281160303557	0.58	0.189	0	4	SRGN
FCGRT	0	0.851118403138245	0.507	0.074	0	4	FCGRT
FTH11	0	0.834561941242265	1	0.989	0	4	FTH1
MS4A7	0	0.82049331025008	0.427	0.006	0	4	MS4A7
NPC2	0	0.805905713391803	0.673	0.354	0	4	NPC2
LAPTM51	0	0.796711398758468	0.586	0.119	0	4	LAPTM5
BCL2A1	0	0.786871595508858	0.316	0.018	0	4	BCL2A1
IER3	0	0.785401225845628	0.342	0.108	0	4	IER3
HLA-DMA	0	0.781694414513671	0.506	0.054	0	4	HLA-DMA
TMSB101	0	0.770193476240241	0.995	0.93	0	4	TMSB10
LGMN	0	0.763885118556152	0.38	0.045	0	4	LGMN
ACTB1	0	0.748505161763214	0.994	0.942	0	4	ACTB
CD83	0	0.737675621897059	0.333	0.027	0	4	CD83
CD14	0	0.730923680163457	0.37	0.008	0	4	CD14
ITM2B	0	0.704126683884318	0.616	0.365	0	4	ITM2B
S100A11	0	0.688036772937168	0.718	0.45	0	4	S100A11
CTSS	0	0.685656674697978	0.436	0.043	0	4	CTSS
LIPA	0	0.625635480786775	0.352	0.032	0	4	LIPA
DUSP11	0	0.621226119761257	0.386	0.166	0	4	DUSP1
GRN	0	0.615410813733372	0.451	0.158	0	4	GRN
GPR183	0	0.611631395575981	0.29	0.031	0	4	GPR183
GLUL	0	0.599877585276139	0.455	0.134	0	4	GLUL
OAZ11	0	0.569508896999109	0.822	0.587	0	4	OAZ1
FGL2	0	0.561180596872328	0.329	0.007	0	4	FGL2
VAMP8	0	0.551875146252391	0.47	0.101	0	4	VAMP8
CYBA1	0	0.539570202372243	0.479	0.194	0	4	CYBA
RNASET2	0	0.523786256062267	0.393	0.063	0	4	RNASET2
FOLR2	0	0.499992255886216	0.277	0.004	0	4	FOLR2
LST1	0	0.491452731078294	0.344	0.006	0	4	LST1
SPI1	0	0.48933486013641	0.348	0.005	0	4	SPI1
FCGR3A	0	0.488777558273625	0.283	0.015	0	4	FCGR3A
TUBA1B	0	0.483965108361688	0.525	0.328	0	4	TUBA1B
DAB2	0	0.478769500278209	0.313	0.032	0	4	DAB2
PLEK	0	0.473051651111319	0.291	0.021	0	4	PLEK
COTL11	0	0.47256322349522	0.337	0.103	0	4	COTL1
B2M1	0	0.468836922603561	0.999	0.936	0	4	B2M
RGS10	0	0.465242983868499	0.395	0.075	0	4	RGS10
CAPG	0	0.464971331884797	0.262	0.015	0	4	CAPG
NAMPT	0	0.449392328235108	0.322	0.126	0	4	NAMPT
LGALS3	0	0.432815777740141	0.376	0.169	0	4	LGALS3
ARPC3	0	0.428899157393699	0.571	0.331	0	4	ARPC3
IGSF6	0	0.414736203176415	0.277	0.003	0	4	IGSF6
CTSC1	0	0.409811700001119	0.326	0.118	0	4	CTSC
HLA-DMB	0	0.406941258338643	0.315	0.01	0	4	HLA-DMB
ARHGDIB1	0	0.40594905307869	0.485	0.141	0	4	ARHGDIB
TMEM176B	0	0.403059691936009	0.273	0.012	0	4	TMEM176B
GADD45B	0	0.402165559375962	0.343	0.163	0	4	GADD45B
CYBB	0	0.393058775294412	0.286	0.003	0	4	CYBB
MS4A4A	0	0.388942839358908	0.266	0.003	0	4	MS4A4A
RNASE6	0	0.388826694037239	0.277	0.004	0	4	RNASE6
TYMP	0	0.388377019127566	0.315	0.09	0	4	TYMP
PYCARD	0	0.38063262672918	0.335	0.048	0	4	PYCARD
NCF1	0	0.375894380109179	0.288	0.025	0	4	NCF1
PFN11	0	0.37496734800515	0.935	0.812	0	4	PFN1
CXCL16	0	0.371249961460288	0.288	0.012	0	4	CXCL16
RHOA	0	0.362905586288281	0.56	0.368	0	4	RHOA
ITGB21	0	0.358721833419802	0.317	0.081	0	4	ITGB2
RNF130	0	0.355369448156664	0.338	0.074	0	4	RNF130
UCP21	0	0.34621951648391	0.322	0.076	0	4	UCP2
RGS21	0	0.344919549462576	0.26	0.081	0	4	RGS2
CREG1	0	0.339687366716195	0.286	0.046	0	4	CREG1
ARPC5	0	0.339437916519522	0.382	0.128	0	4	ARPC5
TPT11	0	0.326678529704752	0.998	0.993	0	4	TPT1
MFSD1	0	0.3249786779836	0.275	0.03	0	4	MFSD1
FCGR2A	0	0.322325036401714	0.251	0.014	0	4	FCGR2A
MARCKS	0	0.3206806080386	0.281	0.066	0	4	MARCKS
NINJ1	0	0.306284417123762	0.391	0.202	0	4	NINJ1
CAPZB1	0	0.303345818987276	0.416	0.218	0	4	CAPZB
ARRB2	0	0.294087498430145	0.273	0.031	0	4	ARRB2
HCLS11	0	0.292081294080901	0.291	0.069	0	4	HCLS1
REL1	0	0.286072895933218	0.267	0.101	0	4	REL
CTSZ	0	0.28569988328234	0.29	0.115	0	4	CTSZ
RGS11	0	0.283446780716652	0.324	0.134	0	4	RGS1
ARPC1B	0	0.27950277055472	0.352	0.157	0	4	ARPC1B
GRB2	0	0.278246603527645	0.293	0.073	0	4	GRB2
CTSH	0	0.275468659833251	0.251	0.058	0	4	CTSH
RHOG	0	0.274121201341114	0.294	0.079	0	4	RHOG
SAMHD1	0	0.269699776693355	0.258	0.053	0	4	SAMHD1
TNFAIP31	4.92646765364361e-302	0.460680681773579	0.297	0.135	1.13619123495983e-297	4	TNFAIP3
SH3BGRL31	1.78467860577994e-294	0.40676859798126	0.566	0.371	4.11600426851027e-290	4	SH3BGRL3
LSP11	4.28370645248221e-279	0.272610816474466	0.256	0.108	9.87951219135971e-275	4	LSP1
ARPC21	3.51500151274986e-270	0.320161980884067	0.524	0.35	8.10664798885501e-266	4	ARPC2
BLVRB	2.43154697736724e-261	0.251490287477797	0.286	0.136	5.60787679390207e-257	4	BLVRB
CTSD	4.74965014407689e-261	0.654974923058992	0.515	0.378	1.09541181272845e-256	4	CTSD
PLD3	2.67228818308389e-259	0.298520243181265	0.333	0.177	6.16309823664638e-255	4	PLD3
HERPUD1	5.48532240435765e-253	0.279343372485653	0.333	0.171	1.26507990611701e-248	4	HERPUD1
SGK11	6.56300020262393e-225	0.299286133919993	0.293	0.147	1.51362473673116e-220	4	SGK1
PNRC11	5.18188905402551e-222	0.407682908572671	0.392	0.245	1.1950990725299e-217	4	PNRC1
ATP6V1F	8.39349450369714e-222	0.262250409433627	0.4	0.243	1.93579163738767e-217	4	ATP6V1F
PSME21	6.7809095318277e-217	0.261579158295838	0.335	0.186	1.56388116532542e-212	4	PSME2
LITAF1	5.92793134515341e-188	0.265269762456049	0.414	0.267	1.36715880613273e-183	4	LITAF
KLF61	2.18609123075607e-183	0.390300347849795	0.313	0.181	5.04178220549272e-179	4	KLF6
APOC1	2.47847715931578e-171	0.436736352625487	0.336	0.199	5.71611187252998e-167	4	APOC1
LGALS1	9.40176901708824e-150	0.407280510339227	0.492	0.382	2.16832998841106e-145	4	LGALS1
NR4A21	1.34580239423901e-100	0.288745065096112	0.306	0.204	3.10382406183343e-96	4	NR4A2
FOSB1	1.81848196612358e-98	0.391992979556789	0.323	0.228	4.19396495847082e-94	4	FOSB
S100A10	1.47744670303687e-65	0.254410873777715	0.336	0.257	3.40743533121394e-61	4	S100A10
CSTB1	2.01046260863062e-36	0.276180863518656	0.46	0.403	4.63672991428481e-32	4	CSTB
IFI271	0	0.640769808822382	0.759	0.265	0	5	IFI27
RPS241	0	0.625508188350653	1	0.987	0	5	RPS24
GSTP11	0	0.616138567328197	0.93	0.678	0	5	GSTP1
MT-ND31	0	0.579472727374731	0.992	0.926	0	5	MT-ND3
RPS71	0	0.576913927318249	1	0.986	0	5	RPS7
RPLP11	0	0.548336516792371	1	0.999	0	5	RPLP1
RPL391	0	0.515176227488354	1	0.973	0	5	RPL39
PDCD4	0	0.499491965220983	0.517	0.208	0	5	PDCD4
RPL121	0	0.476720216144675	1	0.99	0	5	RPL12
RPL321	0	0.461387961799868	1	0.987	0	5	RPL32
RPL28	0	0.433639917758438	1	0.994	0	5	RPL28
RPS4X1	0	0.42177428235808	1	0.993	0	5	RPS4X
RPL291	2.41992622423987e-287	0.438064159389154	1	0.981	5.58107585096442e-283	5	RPL29
RPS181	4.52899348962326e-268	0.425174831780529	1	0.992	1.04452176851181e-263	5	RPS18
TMSB102	1.65045123756841e-257	0.390219603484091	0.996	0.934	3.80643568920404e-253	5	TMSB10
RPS151	7.00185551365232e-254	0.36630691186333	1	0.984	1.61483793711363e-249	5	RPS15
RPS81	3.71737232494648e-252	0.341739774937587	1	0.995	8.57337579302407e-248	5	RPS8
RPL35A1	1.42963246069697e-242	0.407125776183313	0.998	0.945	3.29716134410542e-238	5	RPL35A
AP1S21	8.12897130625637e-240	0.525619904059354	0.694	0.459	1.87478465236191e-235	5	AP1S2
RPL26	2.01389504926426e-239	0.4064587464132	0.976	0.849	4.64464615211817e-235	5	RPL26
RPS191	7.05695724680496e-232	0.346320783725198	1	0.99	1.62754604983063e-227	5	RPS19
RPL141	7.9954792447513e-220	0.340266989195298	0.999	0.968	1.84399737821699e-215	5	RPL14
RPL151	6.80418280789884e-219	0.339923916310362	1	0.975	1.56924868098571e-214	5	RPL15
RPS61	3.52764076171602e-212	0.327942322111951	1	0.988	8.13579788874565e-208	5	RPS6
RPS22	1.98448760198827e-193	0.329245076448964	1	0.962	4.57682375646554e-189	5	RPS2
BANCR1	2.07227175714268e-188	0.358790600911358	0.343	0.132	4.77928035349817e-184	5	BANCR
RPS91	1.52768882244088e-185	0.322791193776639	0.999	0.979	3.5233087311954e-181	5	RPS9
RPL111	1.89647474778138e-177	0.289746195797776	1	0.991	4.37383971080819e-173	5	RPL11
RPL301	5.4987663494812e-176	0.256688050894294	1	0.991	1.26818048318085e-171	5	RPL30
PTMA1	7.28860141045166e-160	0.318732940037427	0.996	0.973	1.68097014329247e-155	5	PTMA
RPL18A1	1.376936934101e-158	0.261455475250068	1	0.993	3.17562965111713e-154	5	RPL18A
RPS27A1	5.65847297040574e-156	0.252369577325621	1	0.993	1.30501362116467e-151	5	RPS27A
RPL241	8.75914657721772e-151	0.293245895390622	0.985	0.908	2.02012197510372e-146	5	RPL24
RPL221	7.96352811542555e-142	0.300956871018157	0.985	0.936	1.83662848926059e-137	5	RPL22
RPS281	1.82699850168712e-136	0.252021191253258	1	0.975	4.21360664444101e-132	5	RPS28
PPDPF	2.57821183226202e-134	0.321061774961486	0.878	0.803	5.94612994874589e-130	5	PPDPF
RPS15A2	1.30475911711909e-129	0.253121483203076	0.999	0.978	3.00916595181175e-125	5	RPS15A
RPL371	2.68056225217912e-129	0.25608811826851	0.999	0.964	6.1821807222007e-125	5	RPL37
HSPB1	7.52234394807599e-120	0.361102239602502	0.658	0.504	1.73487818474477e-115	5	HSPB1
PRDX1	5.00653594927305e-92	0.300302705021331	0.685	0.565	1.15465738598084e-87	5	PRDX1
TFAP2A1	2.67564629723774e-76	0.25135196117406	0.342	0.194	6.1708430553194e-72	5	TFAP2A
RPL36A	2.17340096389266e-69	0.282060547190495	0.531	0.399	5.01251464302563e-65	5	RPL36A
COMMD6	1.04535484370565e-58	0.273702969438351	0.45	0.335	2.41090187603833e-54	5	COMMD6
USMG5	1.9845456780409e-47	0.259650197025589	0.45	0.353	4.57695769726573e-43	5	USMG5
IGKV3-20	0	5.43035327991579	0.47	0.049	0	6	IGKV3-20
IGLV3-1	0	5.0202767180584	0.546	0.041	0	6	IGLV3-1
IGLV2-14	0	4.8164430910605	0.293	0.034	0	6	IGLV2-14
IGLV6-57	0	3.9215775576891	0.257	0.019	0	6	IGLV6-57
IGKC	0	3.91034470823127	0.726	0.061	0	6	IGKC
IGHG1	0	3.72976727444404	0.752	0.05	0	6	IGHG1
JCHAIN	0	3.44391455284049	0.804	0.014	0	6	JCHAIN
IGHG4	0	2.83477938462258	0.788	0.031	0	6	IGHG4
IGLC2	0	2.58571570448119	0.4	0.026	0	6	IGLC2
IGLC3	0	2.21851247758677	0.293	0.018	0	6	IGLC3
IGHG3	0	2.06040099389219	0.641	0.012	0	6	IGHG3
SSR4	0	1.88286533556259	0.922	0.324	0	6	SSR4
MZB1	0	1.67250754387628	0.861	0.005	0	6	MZB1
IGHG2	0	1.48977221082376	0.286	0.005	0	6	IGHG2
HERPUD11	0	1.42936527694634	0.838	0.168	0	6	HERPUD1
IGHA1	0	1.23876138774974	0.259	0.006	0	6	IGHA1
IGLL5	0	1.07024207176532	0.412	0.001	0	6	IGLL5
DERL3	0	1.05837315214827	0.76	0.003	0	6	DERL3
XBP1	0	1.02678688956066	0.774	0.134	0	6	XBP1
FKBP11	0	0.887581812953107	0.743	0.085	0	6	FKBP11
HSP90B1	0	0.81632858529135	0.799	0.251	0	6	HSP90B1
CD79A	0	0.709605067562126	0.607	0.005	0	6	CD79A
CYBA2	0	0.699764205954032	0.803	0.205	0	6	CYBA
ISG201	0	0.69891895074838	0.692	0.111	0	6	ISG20
SEC11C	0	0.617984871981024	0.674	0.188	0	6	SEC11C
PIM2	0	0.614566967704362	0.536	0.041	0	6	PIM2
ANKRD28	0	0.568724149952315	0.5	0.063	0	6	ANKRD28
BTG21	0	0.566172578001828	0.527	0.175	0	6	BTG2
ITM2C	0	0.547485513205114	0.61	0.18	0	6	ITM2C
DUSP5	0	0.546684659388106	0.48	0.04	0	6	DUSP5
PRDX4	0	0.53594180032989	0.62	0.128	0	6	PRDX4
PRDM11	0	0.529721815838193	0.486	0.052	0	6	PRDM1
UBE2J1	0	0.521687964807006	0.533	0.074	0	6	UBE2J1
SERP1	0	0.51766006797923	0.69	0.233	0	6	SERP1
RGS12	0	0.51179644021097	0.592	0.14	0	6	RGS1
SPCS3	0	0.479661981053227	0.566	0.095	0	6	SPCS3
RAB30	0	0.454032786119289	0.383	0.01	0	6	RAB30
TP53INP1	0	0.44006229540263	0.41	0.021	0	6	TP53INP1
PDE4B1	0	0.427228148695516	0.459	0.071	0	6	PDE4B
FAM46C1	0	0.423641767234298	0.457	0.05	0	6	FAM46C
SSR3	0	0.399434856928618	0.532	0.129	0	6	SSR3
SELK1	0	0.398549028794552	0.587	0.171	0	6	SELK
PELI1	0	0.388287909351135	0.328	0.031	0	6	PELI1
VIMP	0	0.38756239756942	0.495	0.102	0	6	VIMP
SDF2L1	0	0.386187779958685	0.432	0.068	0	6	SDF2L1
TSC22D31	0	0.375550925920616	0.491	0.149	0	6	TSC22D3
MIR155HG	0	0.374875534567813	0.258	0.037	0	6	MIR155HG
DNAJB9	0	0.374147647436124	0.464	0.076	0	6	DNAJB9
FKBP2	0	0.373284749573194	0.571	0.188	0	6	FKBP2
EHMT1	0	0.367699700905064	0.318	0.023	0	6	EHMT1
SPCS2	0	0.363669133263356	0.564	0.181	0	6	SPCS2
ELL2	0	0.359256316324189	0.375	0.044	0	6	ELL2
ERLEC1	0	0.350949754572227	0.412	0.059	0	6	ERLEC1
LINC001521	0	0.339707391219717	0.347	0.065	0	6	LINC00152
CYTIP1	0	0.339032877571201	0.442	0.081	0	6	CYTIP
CD38	0	0.334428376354456	0.354	0.029	0	6	CD38
TXNDC5	0	0.316292000958275	0.289	0.005	0	6	TXNDC5
FNDC3B	0	0.313413885635379	0.3	0.038	0	6	FNDC3B
PLPP5	0	0.307775720986259	0.378	0.051	0	6	PLPP5
HIST1H1C	0	0.306355059057386	0.288	0.046	0	6	HIST1H1C
SEL1L3	0	0.27204225710985	0.285	0.011	0	6	SEL1L3
CD271	0	0.270239383150814	0.388	0.071	0	6	CD27
H1FX	0	0.268577911259879	0.275	0.035	0	6	H1FX
POU2AF1	0	0.268402281290384	0.261	0.002	0	6	POU2AF1
MANF	0	0.263704941449561	0.329	0.054	0	6	MANF
LINC-PINT1	0	0.257431705822284	0.335	0.072	0	6	LINC-PINT
SPCS1	1.09029548917025e-307	0.360893286218758	0.613	0.238	2.51454848667335e-303	6	SPCS1
SEC61B	1.23749759717183e-286	0.460499138559266	0.658	0.291	2.85404070835739e-282	6	SEC61B
ZFP36L21	6.59350432210959e-261	0.303104971876159	0.521	0.187	1.52065990180814e-256	6	ZFP36L2
TRAM1	1.01160975401328e-210	0.275560522264192	0.512	0.21	2.33307557568083e-206	6	TRAM1
ANKRD37	1.75413850150983e-179	0.294286304641618	0.263	0.079	4.04556962603211e-175	6	ANKRD37
MYDGF	7.7334500776474e-164	0.261948925408918	0.386	0.154	1.78356559140782e-159	6	MYDGF
